Table Name:,"2001 VBT Preferred Select and Ultimate - Female Smoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Preferred Select and Ultimate Table - Female Smoker.  Basis: Age Nearest Birthday. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",25,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00045,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00048,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0006,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00066,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00076,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00091,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00107,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00112,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00119,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00126,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00134,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00145,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00157,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00172,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00188,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00207,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00231,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00262,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00296,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00339,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00386,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00438,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00495,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00557,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00625,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00698,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00776,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00854,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00942,,,,,,,,,,,,,,,,,,,,,,,,
60,0.01021,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01102,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01195,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01287,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01384,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0149,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01602,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01729,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01868,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02019,,,,,,,,,,,,,,,,,,,,,,,,
70,0.02188,,,,,,,,,,,,,,,,,,,,,,,,
71,0.02382,,,,,,,,,,,,,,,,,,,,,,,,
72,0.02595,,,,,,,,,,,,,,,,,,,,,,,,
73,0.02826,,,,,,,,,,,,,,,,,,,,,,,,
74,0.03078,,,,,,,,,,,,,,,,,,,,,,,,
75,0.0333,,,,,,,,,,,,,,,,,,,,,,,,
76,0.0365,,,,,,,,,,,,,,,,,,,,,,,,
77,0.03997,,,,,,,,,,,,,,,,,,,,,,,,
78,0.04375,,,,,,,,,,,,,,,,,,,,,,,,
79,0.04788,,,,,,,,,,,,,,,,,,,,,,,,
80,0.05236,,,,,,,,,,,,,,,,,,,,,,,,
81,0.05866,,,,,,,,,,,,,,,,,,,,,,,,
82,0.06559,,,,,,,,,,,,,,,,,,,,,,,,
83,0.07245,,,,,,,,,,,,,,,,,,,,,,,,
84,0.07991,,,,,,,,,,,,,,,,,,,,,,,,
85,0.08753,,,,,,,,,,,,,,,,,,,,,,,,
86,0.09402,,,,,,,,,,,,,,,,,,,,,,,,
87,0.10421,,,,,,,,,,,,,,,,,,,,,,,,
88,0.11453,,,,,,,,,,,,,,,,,,,,,,,,
89,0.12507,,,,,,,,,,,,,,,,,,,,,,,,
90,0.1338,,,,,,,,,,,,,,,,,,,,,,,,
91,0.13607,,,,,,,,,,,,,,,,,,,,,,,,
92,0.14376,,,,,,,,,,,,,,,,,,,,,,,,
93,0.15599,,,,,,,,,,,,,,,,,,,,,,,,
94,0.17161,,,,,,,,,,,,,,,,,,,,,,,,
95,0.19542,,,,,,,,,,,,,,,,,,,,,,,,
96,0.21544,,,,,,,,,,,,,,,,,,,,,,,,
97,0.23559,,,,,,,,,,,,,,,,,,,,,,,,
98,0.23492,,,,,,,,,,,,,,,,,,,,,,,,
99,0.24325,,,,,,,,,,,,,,,,,,,,,,,,
100,0.25865,,,,,,,,,,,,,,,,,,,,,,,,
101,0.27994,,,,,,,,,,,,,,,,,,,,,,,,
102,0.30322,,,,,,,,,,,,,,,,,,,,,,,,
103,0.32808,,,,,,,,,,,,,,,,,,,,,,,,
104,0.35491,,,,,,,,,,,,,,,,,,,,,,,,
105,0.38835,,,,,,,,,,,,,,,,,,,,,,,,
106,0.42259,,,,,,,,,,,,,,,,,,,,,,,,
107,0.45763,,,,,,,,,,,,,,,,,,,,,,,,
108,0.49287,,,,,,,,,,,,,,,,,,,,,,,,
109,0.52951,,,,,,,,,,,,,,,,,,,,,,,,
110,0.56695,,,,,,,,,,,,,,,,,,,,,,,,
111,0.603,,,,,,,,,,,,,,,,,,,,,,,,
112,0.638,,,,,,,,,,,,,,,,,,,,,,,,
113,0.67,,,,,,,,,,,,,,,,,,,,,,,,
114,0.7145,,,,,,,,,,,,,,,,,,,,,,,,
115,0.756,,,,,,,,,,,,,,,,,,,,,,,,
116,0.799,,,,,,,,,,,,,,,,,,,,,,,,
117,0.846,,,,,,,,,,,,,,,,,,,,,,,,
118,0.88948,,,,,,,,,,,,,,,,,,,,,,,,
119,0.93363,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
