Table Name:,"2001 VBT Super Preferred Select and Ultimate - Female Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
99,0.19715,0.21406,0.23152,0.24976,0.26881,0.28852,0.30893,0.33106,0.35599,0.38372,0.41423,0.4475,0.48351,0.52224,0.56366,0.60773,0.65442,0.70367,0.75542,0.80958,0.87599,1,,,

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Super Preferred Select and Ultimate Table - Female Nonsmoker. Basis: Age Last Birthday. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Dates,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",25,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0002,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00021,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00022,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00023,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00024,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00025,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0003,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00036,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00038,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00043,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00045,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
41,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00064,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00089,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00114,,,,,,,,,,,,,,,,,,,,,,,,
50,0.0013,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00149,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00171,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00195,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00223,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00255,,,,,,,,,,,,,,,,,,,,,,,,
56,0.0029,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00329,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00371,,,,,,,,,,,,,,,,,,,,,,,,
59,0.0041,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00446,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00485,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00526,,,,,,,,,,,,,,,,,,,,,,,,
63,0.0057,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00618,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00672,,,,,,,,,,,,,,,,,,,,,,,,
66,0.0073,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00795,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00867,,,,,,,,,,,,,,,,,,,,,,,,
69,0.00947,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01037,,,,,,,,,,,,,,,,,,,,,,,,
71,0.0114,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01252,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01375,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01511,,,,,,,,,,,,,,,,,,,,,,,,
75,0.01683,,,,,,,,,,,,,,,,,,,,,,,,
76,0.01895,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02133,,,,,,,,,,,,,,,,,,,,,,,,
78,0.02399,,,,,,,,,,,,,,,,,,,,,,,,
79,0.02696,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03067,,,,,,,,,,,,,,,,,,,,,,,,
81,0.03528,,,,,,,,,,,,,,,,,,,,,,,,
82,0.04028,,,,,,,,,,,,,,,,,,,,,,,,
83,0.04564,,,,,,,,,,,,,,,,,,,,,,,,
84,0.05173,,,,,,,,,,,,,,,,,,,,,,,,
85,0.05805,,,,,,,,,,,,,,,,,,,,,,,,
86,0.06561,,,,,,,,,,,,,,,,,,,,,,,,
87,0.07501,,,,,,,,,,,,,,,,,,,,,,,,
88,0.08515,,,,,,,,,,,,,,,,,,,,,,,,
89,0.09549,,,,,,,,,,,,,,,,,,,,,,,,
90,0.10345,,,,,,,,,,,,,,,,,,,,,,,,
91,0.11127,,,,,,,,,,,,,,,,,,,,,,,,
92,0.12375,,,,,,,,,,,,,,,,,,,,,,,,
93,0.14064,,,,,,,,,,,,,,,,,,,,,,,,
94,0.16191,,,,,,,,,,,,,,,,,,,,,,,,
95,0.18401,,,,,,,,,,,,,,,,,,,,,,,,
96,0.20436,,,,,,,,,,,,,,,,,,,,,,,,
97,0.21676,,,,,,,,,,,,,,,,,,,,,,,,
98,0.22248,,,,,,,,,,,,,,,,,,,,,,,,
99,0.23598,,,,,,,,,,,,,,,,,,,,,,,,
100,0.25598,,,,,,,,,,,,,,,,,,,,,,,,
101,0.28045,,,,,,,,,,,,,,,,,,,,,,,,
102,0.30725,,,,,,,,,,,,,,,,,,,,,,,,
103,0.33639,,,,,,,,,,,,,,,,,,,,,,,,
104,0.36802,,,,,,,,,,,,,,,,,,,,,,,,
105,0.40134,,,,,,,,,,,,,,,,,,,,,,,,
106,0.43542,,,,,,,,,,,,,,,,,,,,,,,,
107,0.47002,,,,,,,,,,,,,,,,,,,,,,,,
108,0.5052,,,,,,,,,,,,,,,,,,,,,,,,
109,0.54149,,,,,,,,,,,,,,,,,,,,,,,,
110,0.57784,,,,,,,,,,,,,,,,,,,,,,,,
111,0.61295,,,,,,,,,,,,,,,,,,,,,,,,
112,0.64651,,,,,,,,,,,,,,,,,,,,,,,,
113,0.68104,,,,,,,,,,,,,,,,,,,,,,,,
114,0.72372,,,,,,,,,,,,,,,,,,,,,,,,
115,0.76443,,,,,,,,,,,,,,,,,,,,,,,,
116,0.80687,,,,,,,,,,,,,,,,,,,,,,,,
117,0.8518,,,,,,,,,,,,,,,,,,,,,,,,
118,0.89387,,,,,,,,,,,,,,,,,,,,,,,,
119,0.93776,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
