Table Name:,"2001 VBT Residual Standard Select and Ultimate - Male Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Residual Standard Select and Ultimate Table -  Male Nonsmoker. Basis: Age Last Birthday. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Dates,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",25,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00106,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00108,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
30,0.001,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00097,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00104,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00109,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00115,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00123,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00132,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00142,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00155,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00171,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00189,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00212,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00235,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00258,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00277,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00291,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00309,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00332,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00362,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00399,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00444,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00501,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00563,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00629,,,,,,,,,,,,,,,,,,,,,,,,
57,0.0069,,,,,,,,,,,,,,,,,,,,,,,,
58,0.0075,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00823,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00915,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01029,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01163,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01308,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01459,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01616,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01773,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01938,,,,,,,,,,,,,,,,,,,,,,,,
68,0.0211,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02304,,,,,,,,,,,,,,,,,,,,,,,,
70,0.02531,,,,,,,,,,,,,,,,,,,,,,,,
71,0.0281,,,,,,,,,,,,,,,,,,,,,,,,
72,0.03138,,,,,,,,,,,,,,,,,,,,,,,,
73,0.03483,,,,,,,,,,,,,,,,,,,,,,,,
74,0.03851,,,,,,,,,,,,,,,,,,,,,,,,
75,0.04241,,,,,,,,,,,,,,,,,,,,,,,,
76,0.04668,,,,,,,,,,,,,,,,,,,,,,,,
77,0.05167,,,,,,,,,,,,,,,,,,,,,,,,
78,0.05745,,,,,,,,,,,,,,,,,,,,,,,,
79,0.0639,,,,,,,,,,,,,,,,,,,,,,,,
80,0.07106,,,,,,,,,,,,,,,,,,,,,,,,
81,0.07878,,,,,,,,,,,,,,,,,,,,,,,,
82,0.08685,,,,,,,,,,,,,,,,,,,,,,,,
83,0.0956,,,,,,,,,,,,,,,,,,,,,,,,
84,0.10527,,,,,,,,,,,,,,,,,,,,,,,,
85,0.11598,,,,,,,,,,,,,,,,,,,,,,,,
86,0.12768,,,,,,,,,,,,,,,,,,,,,,,,
87,0.14021,,,,,,,,,,,,,,,,,,,,,,,,
88,0.1534,,,,,,,,,,,,,,,,,,,,,,,,
89,0.16708,,,,,,,,,,,,,,,,,,,,,,,,
90,0.18041,,,,,,,,,,,,,,,,,,,,,,,,
91,0.19324,,,,,,,,,,,,,,,,,,,,,,,,
92,0.20649,,,,,,,,,,,,,,,,,,,,,,,,
93,0.2203,,,,,,,,,,,,,,,,,,,,,,,,
94,0.23467,,,,,,,,,,,,,,,,,,,,,,,,
95,0.24916,,,,,,,,,,,,,,,,,,,,,,,,
96,0.26379,,,,,,,,,,,,,,,,,,,,,,,,
97,0.27925,,,,,,,,,,,,,,,,,,,,,,,,
98,0.29562,,,,,,,,,,,,,,,,,,,,,,,,
99,0.31292,,,,,,,,,,,,,,,,,,,,,,,,
100,0.33122,,,,,,,,,,,,,,,,,,,,,,,,
101,0.35058,,,,,,,,,,,,,,,,,,,,,,,,
102,0.37104,,,,,,,,,,,,,,,,,,,,,,,,
103,0.39266,,,,,,,,,,,,,,,,,,,,,,,,
104,0.41541,,,,,,,,,,,,,,,,,,,,,,,,
105,0.43927,,,,,,,,,,,,,,,,,,,,,,,,
106,0.46447,,,,,,,,,,,,,,,,,,,,,,,,
107,0.4911,,,,,,,,,,,,,,,,,,,,,,,,
108,0.51922,,,,,,,,,,,,,,,,,,,,,,,,
109,0.54891,,,,,,,,,,,,,,,,,,,,,,,,
110,0.58025,,,,,,,,,,,,,,,,,,,,,,,,
111,0.61333,,,,,,,,,,,,,,,,,,,,,,,,
112,0.64821,,,,,,,,,,,,,,,,,,,,,,,,
113,0.68501,,,,,,,,,,,,,,,,,,,,,,,,
114,0.72378,,,,,,,,,,,,,,,,,,,,,,,,
115,0.76463,,,,,,,,,,,,,,,,,,,,,,,,
116,0.80762,,,,,,,,,,,,,,,,,,,,,,,,
117,0.85281,,,,,,,,,,,,,,,,,,,,,,,,
118,0.90028,,,,,,,,,,,,,,,,,,,,,,,,
119,0.94993,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
