Table Name:,"2001 CSO Preferred Select and Ultimate - Female Smoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
99,0.2245,0.24171,0.26171,0.27574,0.28988,0.30459,0.32321,0.34279,0.36526,0.39061,0.41885,0.44997,0.48398,0.52088,0.56066,0.60333,0.64889,0.69732,0.74865,0.80286,0.85996,1,,,

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Preferred Select and Ultimate Table - Female Smoker. Basis: Age Nearest Birthday. Minimum Ultimate Age: 16. Maximum Ultimate Age: 120,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",16,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00031,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00034,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00038,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00043,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00046,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00048,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00068,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00076,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00083,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00095,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00103,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00113,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00121,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00132,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00139,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00147,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00156,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00166,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00179,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00194,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00211,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0023,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00251,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00278,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00313,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00351,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00397,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00449,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00505,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00565,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00632,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00706,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00784,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00868,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00952,,,,,,,,,,,,,,,,,,,,,,,,
59,0.01047,,,,,,,,,,,,,,,,,,,,,,,,
60,0.01134,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01222,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01324,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01425,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01532,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01649,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01772,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01912,,,,,,,,,,,,,,,,,,,,,,,,
68,0.02065,,,,,,,,,,,,,,,,,,,,,,,,
69,0.0223,,,,,,,,,,,,,,,,,,,,,,,,
70,0.02416,,,,,,,,,,,,,,,,,,,,,,,,
71,0.02627,,,,,,,,,,,,,,,,,,,,,,,,
72,0.0286,,,,,,,,,,,,,,,,,,,,,,,,
73,0.03112,,,,,,,,,,,,,,,,,,,,,,,,
74,0.03387,,,,,,,,,,,,,,,,,,,,,,,,
75,0.03664,,,,,,,,,,,,,,,,,,,,,,,,
76,0.04012,,,,,,,,,,,,,,,,,,,,,,,,
77,0.0439,,,,,,,,,,,,,,,,,,,,,,,,
78,0.04802,,,,,,,,,,,,,,,,,,,,,,,,
79,0.05252,,,,,,,,,,,,,,,,,,,,,,,,
80,0.05741,,,,,,,,,,,,,,,,,,,,,,,,
81,0.06417,,,,,,,,,,,,,,,,,,,,,,,,
82,0.0716,,,,,,,,,,,,,,,,,,,,,,,,
83,0.079,,,,,,,,,,,,,,,,,,,,,,,,
84,0.08706,,,,,,,,,,,,,,,,,,,,,,,,
85,0.09532,,,,,,,,,,,,,,,,,,,,,,,,
86,0.10251,,,,,,,,,,,,,,,,,,,,,,,,
87,0.11349,,,,,,,,,,,,,,,,,,,,,,,,
88,0.12465,,,,,,,,,,,,,,,,,,,,,,,,
89,0.13609,,,,,,,,,,,,,,,,,,,,,,,,
90,0.14577,,,,,,,,,,,,,,,,,,,,,,,,
91,0.14909,,,,,,,,,,,,,,,,,,,,,,,,
92,0.15807,,,,,,,,,,,,,,,,,,,,,,,,
93,0.17183,,,,,,,,,,,,,,,,,,,,,,,,
94,0.18921,,,,,,,,,,,,,,,,,,,,,,,,
95,0.21497,,,,,,,,,,,,,,,,,,,,,,,,
96,0.23691,,,,,,,,,,,,,,,,,,,,,,,,
97,0.25895,,,,,,,,,,,,,,,,,,,,,,,,
98,0.26001,,,,,,,,,,,,,,,,,,,,,,,,
99,0.27077,,,,,,,,,,,,,,,,,,,,,,,,
100,0.28927,,,,,,,,,,,,,,,,,,,,,,,,
101,0.30903,,,,,,,,,,,,,,,,,,,,,,,,
102,0.33078,,,,,,,,,,,,,,,,,,,,,,,,
103,0.35411,,,,,,,,,,,,,,,,,,,,,,,,
104,0.37941,,,,,,,,,,,,,,,,,,,,,,,,
105,0.41132,,,,,,,,,,,,,,,,,,,,,,,,
106,0.44402,,,,,,,,,,,,,,,,,,,,,,,,
107,0.47753,,,,,,,,,,,,,,,,,,,,,,,,
108,0.51124,,,,,,,,,,,,,,,,,,,,,,,,
109,0.54635,,,,,,,,,,,,,,,,,,,,,,,,
110,0.58226,,,,,,,,,,,,,,,,,,,,,,,,
111,0.61678,,,,,,,,,,,,,,,,,,,,,,,,
112,0.65025,,,,,,,,,,,,,,,,,,,,,,,,
113,0.68072,,,,,,,,,,,,,,,,,,,,,,,,
114,0.72369,,,,,,,,,,,,,,,,,,,,,,,,
115,0.76366,,,,,,,,,,,,,,,,,,,,,,,,
116,0.80512,,,,,,,,,,,,,,,,,,,,,,,,
117,0.85059,,,,,,,,,,,,,,,,,,,,,,,,
118,0.89254,,,,,,,,,,,,,,,,,,,,,,,,
119,0.93516,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
