Table Name:,"2001 CSO Preferred Select and Ultimate - Male Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
99,0.34594,0.36638,0.3846,0.40378,0.42408,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167,1,,,

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Preferred Select and Ultimate Table - Male Nonsmoker. Basis: Age Last Birthday. Minimum Ultimate Age: 16. Maximum Ultimate Age: 120,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",16,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00056,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00071,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00071,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00076,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00077,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00076,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00076,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00077,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00081,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00089,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00094,,,,,,,,,,,,,,,,,,,,,,,,
38,0.001,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00106,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00114,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00124,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00136,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00149,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00165,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00182,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00198,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00212,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00225,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00242,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00262,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00288,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00321,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00359,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00406,,,,,,,,,,,,,,,,,,,,,,,,
55,0.0046,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00518,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00574,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00632,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00697,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0077,,,,,,,,,,,,,,,,,,,,,,,,
61,0.0086,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00965,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01079,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01198,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01322,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01448,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01579,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01718,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01874,,,,,,,,,,,,,,,,,,,,,,,,
70,0.02055,,,,,,,,,,,,,,,,,,,,,,,,
71,0.02275,,,,,,,,,,,,,,,,,,,,,,,,
72,0.02533,,,,,,,,,,,,,,,,,,,,,,,,
73,0.02805,,,,,,,,,,,,,,,,,,,,,,,,
74,0.03096,,,,,,,,,,,,,,,,,,,,,,,,
75,0.03434,,,,,,,,,,,,,,,,,,,,,,,,
76,0.03837,,,,,,,,,,,,,,,,,,,,,,,,
77,0.04309,,,,,,,,,,,,,,,,,,,,,,,,
78,0.0486,,,,,,,,,,,,,,,,,,,,,,,,
79,0.05483,,,,,,,,,,,,,,,,,,,,,,,,
80,0.06186,,,,,,,,,,,,,,,,,,,,,,,,
81,0.06959,,,,,,,,,,,,,,,,,,,,,,,,
82,0.0779,,,,,,,,,,,,,,,,,,,,,,,,
83,0.08709,,,,,,,,,,,,,,,,,,,,,,,,
84,0.09739,,,,,,,,,,,,,,,,,,,,,,,,
85,0.10896,,,,,,,,,,,,,,,,,,,,,,,,
86,0.12181,,,,,,,,,,,,,,,,,,,,,,,,
87,0.13587,,,,,,,,,,,,,,,,,,,,,,,,
88,0.15102,,,,,,,,,,,,,,,,,,,,,,,,
89,0.16713,,,,,,,,,,,,,,,,,,,,,,,,
90,0.18346,,,,,,,,,,,,,,,,,,,,,,,,
91,0.19988,,,,,,,,,,,,,,,,,,,,,,,,
92,0.21729,,,,,,,,,,,,,,,,,,,,,,,,
93,0.23582,,,,,,,,,,,,,,,,,,,,,,,,
94,0.25551,,,,,,,,,,,,,,,,,,,,,,,,
95,0.27421,,,,,,,,,,,,,,,,,,,,,,,,
96,0.29118,,,,,,,,,,,,,,,,,,,,,,,,
97,0.30926,,,,,,,,,,,,,,,,,,,,,,,,
98,0.32854,,,,,,,,,,,,,,,,,,,,,,,,
99,0.34911,,,,,,,,,,,,,,,,,,,,,,,,
100,0.36876,,,,,,,,,,,,,,,,,,,,,,,,
101,0.38619,,,,,,,,,,,,,,,,,,,,,,,,
102,0.40473,,,,,,,,,,,,,,,,,,,,,,,,
103,0.42444,,,,,,,,,,,,,,,,,,,,,,,,
104,0.44527,,,,,,,,,,,,,,,,,,,,,,,,
105,0.46721,,,,,,,,,,,,,,,,,,,,,,,,
106,0.4905,,,,,,,,,,,,,,,,,,,,,,,,
107,0.51521,,,,,,,,,,,,,,,,,,,,,,,,
108,0.54143,,,,,,,,,,,,,,,,,,,,,,,,
109,0.56922,,,,,,,,,,,,,,,,,,,,,,,,
110,0.59865,,,,,,,,,,,,,,,,,,,,,,,,
111,0.62983,,,,,,,,,,,,,,,,,,,,,,,,
112,0.66283,,,,,,,,,,,,,,,,,,,,,,,,
113,0.69775,,,,,,,,,,,,,,,,,,,,,,,,
114,0.73465,,,,,,,,,,,,,,,,,,,,,,,,
115,0.77363,,,,,,,,,,,,,,,,,,,,,,,,
116,0.81476,,,,,,,,,,,,,,,,,,,,,,,,
117,0.85813,,,,,,,,,,,,,,,,,,,,,,,,
118,0.9038,,,,,,,,,,,,,,,,,,,,,,,,
119,0.95167,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
