Table Name:,"2001 CSO Residual Standard Select and Ultimate - Female Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
99,0.21935,0.2395,0.25885,0.27562,0.29319,0.31144,0.33038,0.35103,0.37448,0.40073,0.42976,0.46156,0.49611,0.53339,0.57335,0.61598,0.66124,0.70906,0.7594,0.81218,0.87712,1,,,

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Residual Standard Select and Ultimate Table - Female Nonsmoker. Basis: Age Last Birthday. Minimum Ultimate Age: 16. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",16,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00044,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00053,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00062,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00066,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00071,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00074,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00083,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00112,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00119,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00125,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00132,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0014,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00149,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00159,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00171,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00186,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00204,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00224,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00248,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00275,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00304,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00337,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00373,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00414,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00456,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00501,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00551,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00605,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00663,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00723,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00784,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00851,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00924,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01001,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01083,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01172,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01271,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01381,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01501,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01633,,,,,,,,,,,,,,,,,,,,,,,,
69,0.0178,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01946,,,,,,,,,,,,,,,,,,,,,,,,
71,0.02133,,,,,,,,,,,,,,,,,,,,,,,,
72,0.02339,,,,,,,,,,,,,,,,,,,,,,,,
73,0.02564,,,,,,,,,,,,,,,,,,,,,,,,
74,0.02812,,,,,,,,,,,,,,,,,,,,,,,,
75,0.03077,,,,,,,,,,,,,,,,,,,,,,,,
76,0.03362,,,,,,,,,,,,,,,,,,,,,,,,
77,0.03673,,,,,,,,,,,,,,,,,,,,,,,,
78,0.04012,,,,,,,,,,,,,,,,,,,,,,,,
79,0.04381,,,,,,,,,,,,,,,,,,,,,,,,
80,0.04841,,,,,,,,,,,,,,,,,,,,,,,,
81,0.05405,,,,,,,,,,,,,,,,,,,,,,,,
82,0.05998,,,,,,,,,,,,,,,,,,,,,,,,
83,0.06614,,,,,,,,,,,,,,,,,,,,,,,,
84,0.07299,,,,,,,,,,,,,,,,,,,,,,,,
85,0.07986,,,,,,,,,,,,,,,,,,,,,,,,
86,0.08794,,,,,,,,,,,,,,,,,,,,,,,,
87,0.09795,,,,,,,,,,,,,,,,,,,,,,,,
88,0.1084,,,,,,,,,,,,,,,,,,,,,,,,
89,0.11869,,,,,,,,,,,,,,,,,,,,,,,,
90,0.12602,,,,,,,,,,,,,,,,,,,,,,,,
91,0.13291,,,,,,,,,,,,,,,,,,,,,,,,
92,0.14466,,,,,,,,,,,,,,,,,,,,,,,,
93,0.16071,,,,,,,,,,,,,,,,,,,,,,,,
94,0.18069,,,,,,,,,,,,,,,,,,,,,,,,
95,0.20279,,,,,,,,,,,,,,,,,,,,,,,,
96,0.22504,,,,,,,,,,,,,,,,,,,,,,,,
97,0.23948,,,,,,,,,,,,,,,,,,,,,,,,
98,0.24732,,,,,,,,,,,,,,,,,,,,,,,,
99,0.26359,,,,,,,,,,,,,,,,,,,,,,,,
100,0.28474,,,,,,,,,,,,,,,,,,,,,,,,
101,0.30772,,,,,,,,,,,,,,,,,,,,,,,,
102,0.33304,,,,,,,,,,,,,,,,,,,,,,,,
103,0.3607,,,,,,,,,,,,,,,,,,,,,,,,
104,0.39085,,,,,,,,,,,,,,,,,,,,,,,,
105,0.42271,,,,,,,,,,,,,,,,,,,,,,,,
106,0.45532,,,,,,,,,,,,,,,,,,,,,,,,
107,0.48847,,,,,,,,,,,,,,,,,,,,,,,,
108,0.52219,,,,,,,,,,,,,,,,,,,,,,,,
109,0.55703,,,,,,,,,,,,,,,,,,,,,,,,
110,0.59195,,,,,,,,,,,,,,,,,,,,,,,,
111,0.62562,,,,,,,,,,,,,,,,,,,,,,,,
112,0.65776,,,,,,,,,,,,,,,,,,,,,,,,
113,0.69078,,,,,,,,,,,,,,,,,,,,,,,,
114,0.73205,,,,,,,,,,,,,,,,,,,,,,,,
115,0.77134,,,,,,,,,,,,,,,,,,,,,,,,
116,0.81235,,,,,,,,,,,,,,,,,,,,,,,,
117,0.8559,,,,,,,,,,,,,,,,,,,,,,,,
118,0.89658,,,,,,,,,,,,,,,,,,,,,,,,
119,0.93906,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
