Table Name:,"2001 CSO Super Preferred Select and Ultimate - Male Nonsmoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
99,0.33705,0.35934,0.37736,0.39624,0.41626,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759,0.85205,0.89922,0.94922,1,,,

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Super Preferred Select & Ultimate Table – Male Nonsmoker. Basis: Age Nearest Birthday. Minimum Ultimate Age: 16. Maximum Ultimate Age: 120,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",16,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00053,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00053,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0006,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0006,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0006,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00062,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00068,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00071,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00076,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00081,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00086,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00093,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00111,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00122,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00135,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00146,,,,,,,,,,,,,,,,,,,,,,,,
47,0.0016,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00168,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00182,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00195,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00215,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00243,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00272,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00309,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00355,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00403,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00458,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00508,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00565,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00621,,,,,,,,,,,,,,,,,,,,,,,,
61,0.0069,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00773,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00867,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00965,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01069,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01174,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01281,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01397,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01516,,,,,,,,,,,,,,,,,,,,,,,,
70,0.0166,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01822,,,,,,,,,,,,,,,,,,,,,,,,
72,0.02034,,,,,,,,,,,,,,,,,,,,,,,,
73,0.02257,,,,,,,,,,,,,,,,,,,,,,,,
74,0.02492,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02749,,,,,,,,,,,,,,,,,,,,,,,,
76,0.03098,,,,,,,,,,,,,,,,,,,,,,,,
77,0.03506,,,,,,,,,,,,,,,,,,,,,,,,
78,0.03986,,,,,,,,,,,,,,,,,,,,,,,,
79,0.04548,,,,,,,,,,,,,,,,,,,,,,,,
80,0.05176,,,,,,,,,,,,,,,,,,,,,,,,
81,0.05901,,,,,,,,,,,,,,,,,,,,,,,,
82,0.06677,,,,,,,,,,,,,,,,,,,,,,,,
83,0.07532,,,,,,,,,,,,,,,,,,,,,,,,
84,0.08496,,,,,,,,,,,,,,,,,,,,,,,,
85,0.09587,,,,,,,,,,,,,,,,,,,,,,,,
86,0.10819,,,,,,,,,,,,,,,,,,,,,,,,
87,0.12188,,,,,,,,,,,,,,,,,,,,,,,,
88,0.13686,,,,,,,,,,,,,,,,,,,,,,,,
89,0.15302,,,,,,,,,,,,,,,,,,,,,,,,
90,0.1703,,,,,,,,,,,,,,,,,,,,,,,,
91,0.1872,,,,,,,,,,,,,,,,,,,,,,,,
92,0.20519,,,,,,,,,,,,,,,,,,,,,,,,
93,0.22448,,,,,,,,,,,,,,,,,,,,,,,,
94,0.24517,,,,,,,,,,,,,,,,,,,,,,,,
95,0.26719,,,,,,,,,,,,,,,,,,,,,,,,
96,0.28379,,,,,,,,,,,,,,,,,,,,,,,,
97,0.30149,,,,,,,,,,,,,,,,,,,,,,,,
98,0.32038,,,,,,,,,,,,,,,,,,,,,,,,
99,0.34054,,,,,,,,,,,,,,,,,,,,,,,,
100,0.3621,,,,,,,,,,,,,,,,,,,,,,,,
101,0.37921,,,,,,,,,,,,,,,,,,,,,,,,
102,0.39744,,,,,,,,,,,,,,,,,,,,,,,,
103,0.41684,,,,,,,,,,,,,,,,,,,,,,,,
104,0.43748,,,,,,,,,,,,,,,,,,,,,,,,
105,0.45913,,,,,,,,,,,,,,,,,,,,,,,,
106,0.48215,,,,,,,,,,,,,,,,,,,,,,,,
107,0.50662,,,,,,,,,,,,,,,,,,,,,,,,
108,0.53263,,,,,,,,,,,,,,,,,,,,,,,,
109,0.56026,,,,,,,,,,,,,,,,,,,,,,,,
110,0.58959,,,,,,,,,,,,,,,,,,,,,,,,
111,0.62074,,,,,,,,,,,,,,,,,,,,,,,,
112,0.6538,,,,,,,,,,,,,,,,,,,,,,,,
113,0.68891,,,,,,,,,,,,,,,,,,,,,,,,
114,0.72615,,,,,,,,,,,,,,,,,,,,,,,,
115,0.76567,,,,,,,,,,,,,,,,,,,,,,,,
116,0.80759,,,,,,,,,,,,,,,,,,,,,,,,
117,0.85205,,,,,,,,,,,,,,,,,,,,,,,,
118,0.89922,,,,,,,,,,,,,,,,,,,,,,,,
119,0.94922,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
