Table Name:,"2001 VBT Select and Ultimate - Male Smoker, ANB ",,,,,,,,,,,,,,,,,,,,,,,,
Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Select and Ultimate Table - Male Smoker. Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 100.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",100,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.0009,0.00049,0.00032,0.0002,0.00014,0.00014,0.00015,0.00015,0.00015,0.00016,0.00016,0.0002,0.00026,0.00031,0.00039,0.00053,0.0007,0.00088,0.00101,0.00111,0.00117,0.00122,0.00128,0.00134,0.00141
1,0.0004,0.00029,0.00019,0.00014,0.00014,0.00014,0.00015,0.00015,0.00015,0.00016,0.00018,0.00022,0.00028,0.00033,0.0005,0.00067,0.00084,0.00099,0.00108,0.00115,0.00122,0.00128,0.00134,0.00141,0.00149
2,0.00028,0.00019,0.00014,0.00014,0.00014,0.00014,0.00015,0.00015,0.00015,0.00016,0.00019,0.00025,0.00029,0.0004,0.00064,0.0008,0.00095,0.00107,0.00115,0.00122,0.00128,0.00134,0.00141,0.00149,0.00156
3,0.00017,0.00013,0.00013,0.00014,0.00014,0.00014,0.00015,0.00015,0.00015,0.00018,0.00024,0.00028,0.00039,0.00062,0.00078,0.00093,0.00106,0.00115,0.00122,0.00128,0.00134,0.00141,0.00149,0.00154,0.00161
4,0.00013,0.00013,0.00013,0.00014,0.00014,0.00014,0.00015,0.00015,0.00018,0.00023,0.00028,0.00039,0.00062,0.00078,0.00093,0.00106,0.00114,0.00122,0.00128,0.00134,0.00141,0.00149,0.00154,0.00159,0.00161
5,0.00013,0.00013,0.00013,0.00014,0.00014,0.00014,0.00015,0.00017,0.00022,0.00027,0.00039,0.00061,0.00078,0.00093,0.00106,0.00114,0.00122,0.00128,0.00134,0.00141,0.00149,0.00154,0.00156,0.00158,0.0016
6,0.00013,0.00013,0.00013,0.00014,0.00014,0.00014,0.00017,0.00022,0.00026,0.00038,0.00061,0.00078,0.00093,0.00106,0.00114,0.00122,0.00127,0.00133,0.00141,0.00149,0.00151,0.00153,0.00155,0.00157,0.00159
7,0.00013,0.00013,0.00013,0.00014,0.00014,0.00017,0.00021,0.00026,0.00037,0.00061,0.00078,0.00093,0.00106,0.00114,0.0012,0.00127,0.00131,0.00139,0.00147,0.00149,0.00151,0.00153,0.00155,0.00157,0.00159
8,0.00013,0.00013,0.00013,0.00014,0.00016,0.0002,0.00025,0.00037,0.0006,0.00078,0.00093,0.00105,0.00113,0.00119,0.00125,0.0013,0.00138,0.00146,0.00149,0.00151,0.00153,0.00155,0.00157,0.00159,0.00161
9,0.00013,0.00013,0.00013,0.00016,0.00019,0.00025,0.00036,0.0006,0.00078,0.00093,0.00105,0.00113,0.00119,0.00124,0.00129,0.00135,0.00144,0.00149,0.00151,0.00153,0.00155,0.00157,0.00159,0.00161,0.00165
10,0.00013,0.00013,0.00015,0.00019,0.00025,0.00035,0.0006,0.00077,0.00093,0.00105,0.00113,0.00118,0.00122,0.00127,0.00135,0.00142,0.00149,0.00151,0.00153,0.00155,0.00157,0.00159,0.00161,0.00165,0.00171
11,0.00013,0.00015,0.00018,0.00024,0.00034,0.0006,0.00077,0.00093,0.00103,0.00111,0.00116,0.00121,0.00126,0.00133,0.00141,0.00148,0.00151,0.00153,0.00155,0.00157,0.00159,0.00161,0.00165,0.00171,0.00175
12,0.00014,0.00017,0.00024,0.00033,0.0006,0.00077,0.00093,0.00103,0.0011,0.00115,0.0012,0.00124,0.00132,0.00141,0.00148,0.00151,0.00153,0.00155,0.00157,0.00159,0.00161,0.00165,0.00171,0.00175,0.00185
13,0.00016,0.00023,0.00032,0.0006,0.00077,0.00093,0.00102,0.00109,0.00114,0.00118,0.00123,0.0013,0.00138,0.00146,0.00151,0.00153,0.00155,0.00157,0.00159,0.00161,0.00165,0.00171,0.00175,0.00185,0.00195
14,0.00022,0.00031,0.0006,0.00077,0.00093,0.00102,0.00108,0.00112,0.00117,0.00121,0.00127,0.00136,0.00144,0.00151,0.00153,0.00155,0.00157,0.00159,0.00161,0.00165,0.00171,0.00175,0.00185,0.00195,0.0021
15,0.0003,0.0006,0.00077,0.00093,0.00101,0.00105,0.00111,0.00115,0.0012,0.00126,0.00135,0.00141,0.0015,0.00153,0.00155,0.00157,0.00159,0.00161,0.00165,0.00171,0.00175,0.00185,0.00195,0.0021,0.00225
16,0.0006,0.00077,0.00093,0.00101,0.00105,0.00109,0.00114,0.00118,0.00124,0.00131,0.00138,0.00145,0.0015,0.00155,0.00157,0.00159,0.00161,0.00165,0.0017,0.00175,0.00185,0.00195,0.0021,0.00225,0.00243
17,0.00077,0.00093,0.00101,0.00104,0.00108,0.00114,0.00118,0.00122,0.0013,0.00135,0.0014,0.00145,0.00148,0.00152,0.00154,0.00156,0.00165,0.0017,0.00175,0.00184,0.00194,0.0021,0.00225,0.00243,0.00266
18,0.00093,0.00099,0.00103,0.00107,0.00111,0.00115,0.00121,0.00127,0.00132,0.00135,0.00138,0.00142,0.00145,0.0015,0.00156,0.00157,0.0017,0.00174,0.00184,0.00194,0.0021,0.00225,0.00243,0.00266,0.00294
19,0.00095,0.00099,0.00103,0.00107,0.00111,0.00116,0.00122,0.00127,0.0013,0.00132,0.00135,0.00137,0.00142,0.00149,0.00157,0.00164,0.00174,0.00184,0.00194,0.00209,0.00225,0.00242,0.00266,0.00294,0.00327
20,0.00093,0.00097,0.00101,0.00105,0.00109,0.00116,0.00119,0.00122,0.00125,0.00127,0.0013,0.00133,0.0014,0.0015,0.00164,0.00174,0.00184,0.00194,0.00209,0.00225,0.00242,0.00265,0.00294,0.00327,0.00367
21,0.00089,0.00093,0.00096,0.001,0.00106,0.00109,0.00114,0.00115,0.00119,0.00122,0.00127,0.00133,0.00142,0.00154,0.00169,0.00184,0.00194,0.00209,0.00225,0.00242,0.00265,0.00294,0.00327,0.00367,0.00409
22,0.00084,0.00088,0.00091,0.00097,0.00101,0.00104,0.00107,0.0011,0.00113,0.0012,0.00126,0.00133,0.00143,0.00158,0.00177,0.00194,0.00209,0.00225,0.00242,0.00265,0.00294,0.00327,0.00367,0.00409,0.00448
23,0.00079,0.00082,0.00088,0.00094,0.00098,0.00103,0.00105,0.00108,0.00113,0.0012,0.00128,0.00137,0.0015,0.00165,0.00187,0.00208,0.00225,0.00242,0.00265,0.00294,0.00327,0.00367,0.00406,0.00448,0.00491
24,0.00071,0.00077,0.00084,0.00092,0.00098,0.00102,0.00105,0.0011,0.00116,0.00125,0.00133,0.00143,0.00156,0.00175,0.00201,0.00222,0.00242,0.00265,0.00294,0.00327,0.00366,0.00406,0.00448,0.00487,0.00513
25,0.00061,0.0007,0.00082,0.00093,0.00099,0.00104,0.00108,0.00113,0.00121,0.00131,0.00141,0.00152,0.00168,0.00188,0.00213,0.00241,0.00265,0.00294,0.00327,0.00365,0.00406,0.00448,0.00484,0.00513,0.00539
26,0.00056,0.00069,0.00083,0.00096,0.00102,0.00106,0.00111,0.00119,0.00127,0.00139,0.00151,0.00164,0.00181,0.00206,0.00232,0.00264,0.00294,0.00327,0.00364,0.00406,0.00448,0.00484,0.00513,0.00539,0.00577
27,0.00053,0.0007,0.00086,0.00098,0.00106,0.00111,0.00119,0.00127,0.00137,0.00151,0.00164,0.0018,0.00198,0.00227,0.00253,0.00291,0.00327,0.00363,0.00406,0.00448,0.00483,0.00513,0.00539,0.00577,0.00624
28,0.00054,0.00073,0.00089,0.00101,0.00111,0.00117,0.00125,0.00135,0.00147,0.00163,0.0018,0.00198,0.00221,0.00251,0.00282,0.00323,0.00362,0.00406,0.00448,0.00482,0.00513,0.00539,0.00577,0.00624,0.00688
29,0.00053,0.00074,0.00091,0.00104,0.00117,0.00125,0.00135,0.00147,0.00159,0.0018,0.00198,0.00221,0.00244,0.00275,0.00313,0.0036,0.00406,0.00448,0.00481,0.00513,0.00539,0.00577,0.00624,0.00688,0.00762
30,0.00054,0.00075,0.00091,0.00107,0.00122,0.00135,0.00147,0.00159,0.00176,0.00198,0.00217,0.0024,0.00266,0.003,0.00344,0.00393,0.00439,0.0048,0.00513,0.00539,0.00577,0.00624,0.00688,0.00762,0.00848
31,0.00051,0.00074,0.00092,0.0011,0.00127,0.00144,0.00159,0.00173,0.00189,0.00208,0.00229,0.00258,0.00293,0.00335,0.00384,0.00432,0.00474,0.00513,0.00539,0.00577,0.00624,0.00688,0.00762,0.00848,0.00938
32,0.0005,0.00071,0.00093,0.00111,0.0013,0.00147,0.00166,0.00182,0.00197,0.00215,0.00242,0.00279,0.00327,0.00378,0.00427,0.00471,0.00512,0.00539,0.00577,0.00624,0.00688,0.00762,0.00848,0.00938,0.01044
33,0.00054,0.00076,0.00097,0.00118,0.00138,0.00157,0.00176,0.00192,0.00208,0.00228,0.0026,0.00305,0.00362,0.00415,0.00463,0.00507,0.00539,0.00577,0.00624,0.00688,0.00762,0.00848,0.00937,0.01044,0.01141
34,0.00058,0.0008,0.00104,0.00124,0.00147,0.00168,0.00189,0.00207,0.00225,0.0025,0.00288,0.00339,0.00396,0.00453,0.00501,0.00539,0.00577,0.00624,0.00688,0.00762,0.00848,0.00937,0.01044,0.01141,0.01225
35,0.00063,0.00085,0.00109,0.00131,0.00154,0.00179,0.002,0.00223,0.00249,0.00282,0.00324,0.00375,0.00432,0.0049,0.00539,0.00577,0.00624,0.00688,0.00762,0.00848,0.00937,0.01044,0.01141,0.01225,0.01306
36,0.00067,0.00089,0.00113,0.00137,0.00162,0.00185,0.00212,0.00245,0.0028,0.00321,0.00363,0.00413,0.0047,0.00532,0.00577,0.00624,0.00688,0.00762,0.00848,0.00937,0.01044,0.01141,0.01225,0.01306,0.01406
37,0.00071,0.00091,0.00117,0.00142,0.00167,0.00195,0.0023,0.00273,0.00316,0.00357,0.00399,0.00447,0.00509,0.00577,0.00624,0.00688,0.00762,0.00848,0.00937,0.01044,0.01141,0.01225,0.01306,0.01406,0.01547
38,0.00076,0.00102,0.00129,0.00152,0.00177,0.00211,0.00256,0.00306,0.00353,0.00395,0.00436,0.00486,0.00549,0.00624,0.00688,0.00762,0.00848,0.00937,0.01044,0.01141,0.01225,0.01306,0.01406,0.01547,0.01733
39,0.00084,0.00114,0.0014,0.00163,0.00192,0.00233,0.00287,0.00338,0.00388,0.0043,0.00472,0.00528,0.00599,0.00678,0.00762,0.00848,0.00937,0.01044,0.01141,0.01225,0.01306,0.01406,0.01547,0.01733,0.01948
40,0.0009,0.00123,0.00152,0.00179,0.00214,0.00264,0.00319,0.00374,0.0042,0.00467,0.00519,0.00585,0.0066,0.00745,0.00835,0.00936,0.01044,0.01141,0.01225,0.01306,0.01406,0.01547,0.01733,0.01948,0.02162
41,0.00096,0.00133,0.0017,0.00202,0.00243,0.00298,0.00357,0.00409,0.00459,0.00514,0.00578,0.00652,0.00735,0.00825,0.00932,0.01044,0.01141,0.01225,0.01306,0.01406,0.01547,0.01733,0.01948,0.02162,0.02301
42,0.00102,0.00149,0.00191,0.0023,0.00275,0.0033,0.00389,0.00446,0.00504,0.00572,0.00645,0.00727,0.0082,0.00926,0.01044,0.01141,0.01225,0.01306,0.01406,0.01547,0.01733,0.01948,0.02162,0.02301,0.02434
43,0.00108,0.00157,0.00205,0.00248,0.00295,0.00351,0.00416,0.00481,0.0055,0.00628,0.00709,0.00807,0.00921,0.01041,0.01141,0.01225,0.01306,0.01406,0.01547,0.01733,0.01948,0.02162,0.02301,0.02434,0.02619
44,0.00116,0.00169,0.00217,0.00262,0.00312,0.00373,0.00445,0.00524,0.00602,0.00688,0.00778,0.00905,0.01035,0.01141,0.01225,0.01306,0.01406,0.01547,0.01733,0.01948,0.02162,0.02301,0.02434,0.02619,0.02831
45,0.00129,0.00181,0.0023,0.00277,0.00334,0.00402,0.00487,0.00574,0.00666,0.00757,0.00869,0.0102,0.01141,0.01225,0.01306,0.01406,0.01547,0.01733,0.01948,0.02162,0.02301,0.02434,0.02619,0.02831,0.03083
46,0.00142,0.00192,0.0024,0.00291,0.00358,0.00439,0.0053,0.0063,0.00729,0.00835,0.00966,0.01112,0.01225,0.01306,0.01406,0.01547,0.01733,0.01948,0.02162,0.02301,0.02434,0.02619,0.02831,0.03083,0.03398
47,0.00156,0.00203,0.00251,0.00312,0.0039,0.00478,0.0058,0.0069,0.00797,0.00928,0.01057,0.01194,0.01306,0.01406,0.01547,0.01733,0.01948,0.02162,0.02301,0.02434,0.02619,0.02831,0.03083,0.03398,0.03758
48,0.00171,0.0022,0.00276,0.00342,0.00421,0.00514,0.00625,0.00745,0.00866,0.01014,0.01134,0.01273,0.01406,0.01547,0.01733,0.01948,0.02162,0.02301,0.02434,0.02619,0.02831,0.03083,0.03398,0.03758,0.0413
49,0.00183,0.00243,0.00306,0.00378,0.00459,0.00555,0.00672,0.00806,0.0093,0.01073,0.0121,0.01369,0.01545,0.01733,0.01948,0.02162,0.02301,0.02434,0.02619,0.02831,0.03083,0.03398,0.03758,0.0413,0.04496
50,0.00202,0.0027,0.00341,0.00416,0.00498,0.00597,0.00725,0.00862,0.00988,0.01132,0.01298,0.01505,0.01727,0.01948,0.02162,0.02301,0.02434,0.02619,0.02831,0.03083,0.03398,0.03758,0.0413,0.04496,0.04863
51,0.00225,0.00305,0.00384,0.00465,0.00546,0.00648,0.00771,0.00909,0.01049,0.0121,0.01419,0.01685,0.01938,0.02162,0.02301,0.02434,0.02619,0.02831,0.03083,0.03398,0.03758,0.0413,0.04496,0.04863,0.05282
52,0.0025,0.00343,0.00434,0.00517,0.006,0.00696,0.0082,0.00966,0.01128,0.0133,0.01585,0.01888,0.02148,0.02299,0.02434,0.02619,0.02831,0.03083,0.03398,0.03758,0.0413,0.04496,0.04863,0.05282,0.05747
53,0.00262,0.00374,0.00476,0.0057,0.00657,0.00758,0.00893,0.01063,0.01247,0.01492,0.01783,0.02097,0.02269,0.02434,0.02619,0.02831,0.03083,0.03398,0.03758,0.0413,0.04496,0.04863,0.05282,0.05747,0.06274
54,0.00272,0.00405,0.00524,0.00624,0.00713,0.00827,0.00988,0.01189,0.014,0.01679,0.01979,0.02216,0.02431,0.02619,0.02831,0.03083,0.03398,0.03758,0.0413,0.04496,0.04863,0.05282,0.05747,0.06274,0.06886
55,0.00285,0.0044,0.00571,0.00672,0.00773,0.00912,0.01106,0.01336,0.01567,0.01853,0.02082,0.02361,0.02619,0.02831,0.03083,0.03398,0.03758,0.0413,0.04496,0.04863,0.05282,0.05747,0.06274,0.06886,0.07584
56,0.00297,0.00467,0.00608,0.00723,0.00843,0.01016,0.01244,0.015,0.01741,0.01963,0.02236,0.02553,0.02831,0.03083,0.03398,0.03758,0.0413,0.04496,0.04863,0.05282,0.05747,0.06274,0.06886,0.07584,0.08327
57,0.00306,0.0049,0.00646,0.00785,0.00935,0.0114,0.01395,0.01663,0.01906,0.02178,0.02491,0.02829,0.03083,0.03398,0.03758,0.0413,0.04496,0.04863,0.05282,0.05747,0.06274,0.06886,0.07584,0.08327,0.0916
58,0.0033,0.00519,0.00692,0.00859,0.01047,0.01281,0.01547,0.01812,0.02046,0.02355,0.02706,0.03083,0.03398,0.03758,0.0413,0.04496,0.04863,0.05282,0.05747,0.06274,0.06886,0.07584,0.08327,0.0916,0.09995
59,0.00359,0.00554,0.00748,0.00947,0.0117,0.01427,0.01699,0.01952,0.02177,0.02522,0.02921,0.03398,0.03758,0.0413,0.04496,0.04863,0.05282,0.05747,0.06274,0.06886,0.07584,0.08327,0.0916,0.09995,0.10866
60,0.00399,0.00599,0.00812,0.01043,0.01299,0.01572,0.01843,0.0209,0.02306,0.02699,0.03162,0.03702,0.0413,0.04496,0.04863,0.05282,0.05747,0.06274,0.06886,0.07584,0.08327,0.0916,0.09995,0.10866,0.11811
61,0.00446,0.00651,0.00881,0.01138,0.01423,0.01715,0.01985,0.02221,0.02437,0.02892,0.03407,0.0397,0.04496,0.04863,0.05282,0.05747,0.06274,0.06886,0.07584,0.08327,0.0916,0.09995,0.10866,0.11811,0.12928
62,0.005,0.00711,0.00957,0.0124,0.01552,0.01862,0.02137,0.02376,0.02603,0.03112,0.03649,0.0422,0.04826,0.05282,0.05747,0.06274,0.06886,0.07584,0.08327,0.0916,0.09995,0.10866,0.11811,0.12928,0.14151
63,0.00533,0.00781,0.01063,0.01375,0.01703,0.02028,0.0232,0.0258,0.02836,0.03377,0.03928,0.04516,0.05158,0.05747,0.06274,0.06886,0.07584,0.08327,0.0916,0.09995,0.10866,0.11811,0.12928,0.14151,0.15463
64,0.00556,0.00855,0.01178,0.01518,0.01873,0.02217,0.02534,0.0283,0.0312,0.03685,0.0426,0.04889,0.0559,0.06274,0.06886,0.07584,0.08327,0.0916,0.09995,0.10866,0.11811,0.12928,0.14151,0.15463,0.16839
65,0.00568,0.00926,0.01296,0.01679,0.0206,0.02429,0.02774,0.03102,0.03431,0.04031,0.0465,0.05341,0.0612,0.06886,0.07584,0.08327,0.0916,0.09995,0.10866,0.11811,0.12928,0.14151,0.15463,0.16839,0.18258
66,0.00572,0.01029,0.01432,0.01832,0.02257,0.02636,0.02983,0.03324,0.03683,0.04316,0.04992,0.05758,0.06642,0.07584,0.08327,0.0916,0.09995,0.10866,0.11811,0.12928,0.14005,0.15455,0.16839,0.18258,0.19698
67,0.00603,0.01146,0.01577,0.02001,0.02475,0.02858,0.0321,0.03559,0.03942,0.0462,0.05368,0.06233,0.07223,0.08304,0.0916,0.09995,0.10866,0.11811,0.12928,0.13933,0.15325,0.16764,0.18251,0.19698,0.20975
68,0.00692,0.01274,0.0174,0.02184,0.02658,0.03109,0.03525,0.03917,0.04291,0.05034,0.05881,0.06852,0.0792,0.09129,0.09995,0.10866,0.11811,0.12928,0.13861,0.15163,0.16606,0.18101,0.1963,0.20975,0.22269
69,0.00773,0.01416,0.01919,0.02383,0.02733,0.03396,0.03791,0.04146,0.04552,0.05364,0.06302,0.07336,0.08513,0.09748,0.10866,0.11811,0.12928,0.13789,0.15134,0.16412,0.17912,0.19447,0.20834,0.22269,0.23597
70,0.00861,0.01574,0.02114,0.02598,0.02797,0.03681,0.04017,0.0437,0.05177,0.06088,0.07115,0.08285,0.09523,0.10858,0.11811,0.12928,0.13718,0.14696,0.16352,0.17682,0.19233,0.20643,0.22269,0.23597,0.24966
71,0.011,0.01751,0.02329,0.02689,0.032,0.03904,0.04208,0.04856,0.05613,0.06568,0.07699,0.08904,0.10211,0.11655,0.12928,0.13647,0.14481,0.16164,0.17584,0.1895,0.20378,0.22269,0.23597,0.24966,0.26485
72,0.01404,0.01946,0.02567,0.03088,0.03581,0.04064,0.04554,0.05064,0.05624,0.06616,0.07741,0.08972,0.1034,0.11875,0.13576,0.14269,0.16071,0.17201,0.18809,0.2004,0.22269,0.23597,0.24966,0.26485,0.2779
73,0.01629,0.02356,0.02953,0.03438,0.03846,0.0423,0.04635,0.05416,0.05757,0.06731,0.07891,0.09187,0.10648,0.12275,0.1406,0.15979,0.17012,0.18775,0.19851,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156
74,0.01908,0.02574,0.03195,0.03732,0.04157,0.04507,0.05233,0.05634,0.0602,0.07465,0.08948,0.09673,0.11239,0.12965,0.14835,0.16825,0.18534,0.19773,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586
75,0.02226,0.02708,0.03407,0.04094,0.0445,0.05071,0.05531,0.05998,0.07261,0.08831,0.09576,0.11146,0.12881,0.14767,0.16784,0.18295,0.19707,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083
76,0.02242,0.0296,0.03697,0.04406,0.04946,0.05483,0.05986,0.07063,0.08716,0.09529,0.11042,0.12841,0.14744,0.16387,0.18059,0.19642,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648
77,0.02262,0.03141,0.03987,0.04809,0.0542,0.05974,0.06999,0.08602,0.09507,0.1099,0.12478,0.14371,0.15999,0.17826,0.19577,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285
78,0.02351,0.03308,0.04289,0.05339,0.05962,0.06918,0.0849,0.09485,0.10939,0.12155,0.13623,0.1562,0.17596,0.19512,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999
79,0.02475,0.03522,0.04692,0.0595,0.0681,0.08379,0.09463,0.10888,0.11996,0.13264,0.1525,0.17369,0.19447,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879
80,0.02602,0.03836,0.05199,0.06682,0.0827,0.09441,0.10837,0.1184,0.13113,0.14838,0.16944,0.19016,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663
81,0.02768,0.04241,0.05852,0.07585,0.09419,0.10786,0.11686,0.13023,0.14604,0.16426,0.18953,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021
82,0.02999,0.04774,0.06668,0.08663,0.10736,0.11534,0.12933,0.14525,0.16192,0.1889,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516
83,0.03374,0.05467,0.07647,0.09894,0.11384,0.12844,0.14446,0.15962,0.18827,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156
84,0.03945,0.06329,0.08765,0.11236,0.12756,0.14368,0.15735,0.18764,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949
85,0.04719,0.07349,0.10005,0.12668,0.1429,0.15511,0.18702,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905
86,0.05664,0.08533,0.11387,0.14213,0.1529,0.1864,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031
87,0.06757,0.09908,0.12975,0.15073,0.18578,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339
88,0.08036,0.11544,0.14859,0.18516,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838
89,0.09643,0.13533,0.18455,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541
90,0.11767,0.18394,0.22269,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458
91,0.17179,0.21976,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603
92,0.21092,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988
93,0.23597,0.24966,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627
