Table Name:,2017 Loaded CSO Preferred Structure Smoker Residual Standard Female ALB,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00027,0.00031,0.00034,0.00038,0.00041,0.00043,0.00045,0.00049,0.00054,0.00058,0.00062,0.00067,0.00081,0.00097,0.00111,0.0013,0.00149,0.00168,0.00185,0.00202,0.00217,0.00229,0.00242,0.00256,0.00275
22,0.00026,0.00031,0.00034,0.00037,0.0004,0.00043,0.00047,0.00052,0.00058,0.00062,0.00067,0.00081,0.00097,0.00111,0.0013,0.00148,0.00166,0.00183,0.00199,0.00215,0.00229,0.00242,0.00256,0.00275,0.00302
23,0.00027,0.00031,0.00034,0.00036,0.0004,0.00045,0.0005,0.00057,0.00062,0.00067,0.00079,0.00096,0.00111,0.00129,0.00147,0.00165,0.00182,0.00197,0.00212,0.00227,0.00242,0.00256,0.00275,0.00302,0.0033
24,0.00028,0.0003,0.00033,0.00036,0.00042,0.00048,0.00054,0.00061,0.00067,0.00077,0.00094,0.00109,0.00128,0.00145,0.00163,0.0018,0.00196,0.0021,0.00224,0.0024,0.00256,0.00275,0.00302,0.0033,0.00362
25,0.00027,0.00029,0.00033,0.00038,0.00045,0.00051,0.00058,0.00066,0.00075,0.0009,0.00106,0.00125,0.00145,0.00162,0.00178,0.00194,0.00209,0.00223,0.00238,0.00254,0.00275,0.00302,0.0033,0.00362,0.00397
26,0.00026,0.00029,0.00034,0.00041,0.00048,0.00055,0.00063,0.00072,0.00085,0.00102,0.00121,0.00141,0.00161,0.00178,0.00192,0.00208,0.00223,0.00237,0.00253,0.00274,0.00302,0.0033,0.00362,0.00397,0.00437
27,0.00025,0.0003,0.00036,0.00044,0.00051,0.00059,0.00069,0.00081,0.00096,0.00116,0.00137,0.00158,0.00177,0.00192,0.00206,0.00221,0.00237,0.00252,0.00271,0.003,0.0033,0.00362,0.00397,0.00437,0.0048
28,0.00026,0.00032,0.00039,0.00047,0.00056,0.00065,0.00077,0.00091,0.00109,0.0013,0.00152,0.00172,0.00191,0.00205,0.00219,0.00234,0.00252,0.0027,0.00294,0.00329,0.00362,0.00397,0.00437,0.0048,0.00528
29,0.00027,0.00034,0.00042,0.00051,0.00061,0.00072,0.00087,0.00104,0.00123,0.00145,0.00165,0.00184,0.00202,0.00216,0.00231,0.00248,0.0027,0.00294,0.00322,0.0036,0.00397,0.00437,0.0048,0.00528,0.0058
30,0.00029,0.00036,0.00046,0.00057,0.00068,0.00082,0.00098,0.00117,0.00137,0.00158,0.00177,0.00195,0.00213,0.00228,0.00244,0.00266,0.00293,0.00322,0.00356,0.00394,0.00437,0.0048,0.00528,0.0058,0.00638
31,0.0003,0.00039,0.0005,0.00063,0.00077,0.00093,0.0011,0.0013,0.00149,0.0017,0.00188,0.00206,0.00226,0.00242,0.00262,0.00289,0.00322,0.00355,0.00393,0.00433,0.0048,0.00528,0.0058,0.00638,0.00702
32,0.00032,0.00042,0.00056,0.00071,0.00087,0.00104,0.00123,0.00141,0.0016,0.00181,0.00199,0.00218,0.0024,0.00261,0.00286,0.00318,0.00354,0.00391,0.00429,0.00476,0.00528,0.0058,0.00638,0.00702,0.00774
33,0.00034,0.00047,0.00063,0.00081,0.00098,0.00116,0.00134,0.00152,0.0017,0.00191,0.00211,0.00231,0.00258,0.00286,0.00315,0.0035,0.00389,0.00428,0.00471,0.00523,0.0058,0.00638,0.00702,0.00774,0.00855
34,0.00037,0.00052,0.00072,0.00091,0.00109,0.00127,0.00144,0.00161,0.0018,0.00201,0.00223,0.00252,0.00283,0.00314,0.00346,0.00385,0.00427,0.00469,0.0052,0.00577,0.00638,0.00702,0.00774,0.00855,0.00944
35,0.00041,0.00059,0.00081,0.00102,0.00119,0.00136,0.00153,0.00171,0.0019,0.00212,0.00246,0.00279,0.00312,0.00346,0.00382,0.00424,0.00468,0.00518,0.00575,0.00636,0.00702,0.00774,0.00855,0.00944,0.01042
36,0.00045,0.00065,0.00089,0.00111,0.00129,0.00145,0.00162,0.0018,0.002,0.00239,0.00277,0.00306,0.00343,0.00381,0.0042,0.00466,0.00516,0.00573,0.00635,0.007,0.00774,0.00855,0.00944,0.01042,0.0115
37,0.00049,0.00072,0.00097,0.0012,0.00137,0.00154,0.00172,0.0019,0.00226,0.00272,0.00304,0.00337,0.00377,0.00419,0.00463,0.00514,0.00571,0.00633,0.00699,0.00772,0.00855,0.00944,0.01042,0.0115,0.01269
38,0.00053,0.00077,0.00105,0.00128,0.00146,0.00164,0.00182,0.00216,0.0026,0.00298,0.00334,0.0037,0.00415,0.00461,0.00511,0.00568,0.00631,0.00697,0.0077,0.00852,0.00944,0.01042,0.0115,0.01269,0.01398
39,0.00057,0.00082,0.00111,0.00136,0.00155,0.00174,0.00204,0.00248,0.00286,0.00328,0.00367,0.00408,0.00457,0.00509,0.00563,0.00628,0.00695,0.00768,0.0085,0.0094,0.01042,0.0115,0.01269,0.01398,0.01538
40,0.00059,0.00086,0.00117,0.00144,0.00165,0.00192,0.00232,0.00272,0.00314,0.0036,0.00404,0.00449,0.00504,0.00561,0.0062,0.00692,0.00765,0.00847,0.00937,0.01037,0.0115,0.01269,0.01398,0.01538,0.01689
41,0.00061,0.0009,0.00124,0.00153,0.00178,0.00215,0.00255,0.00298,0.00345,0.00395,0.00444,0.00495,0.00555,0.00617,0.00682,0.00763,0.00844,0.00933,0.01033,0.01144,0.01269,0.01398,0.01538,0.01689,0.0185
42,0.00063,0.00094,0.00131,0.00165,0.00195,0.00236,0.0028,0.00327,0.00379,0.00435,0.00488,0.00544,0.0061,0.00675,0.0075,0.0084,0.00929,0.01028,0.01138,0.0126,0.01398,0.01538,0.01689,0.0185,0.02022
43,0.00065,0.00098,0.00141,0.00181,0.00214,0.00259,0.00307,0.0036,0.00417,0.00478,0.00537,0.00598,0.00665,0.0074,0.00826,0.00925,0.01022,0.01131,0.01254,0.01387,0.01538,0.01689,0.0185,0.02022,0.02204
44,0.00067,0.00104,0.00153,0.00199,0.00235,0.00284,0.00338,0.00396,0.00459,0.00526,0.0059,0.00651,0.00726,0.00815,0.00909,0.01017,0.01125,0.01247,0.01381,0.01527,0.01689,0.0185,0.02022,0.02204,0.02394
45,0.0007,0.00112,0.00167,0.00218,0.00259,0.00313,0.00372,0.00436,0.00505,0.00579,0.00642,0.0071,0.008,0.00897,0.01001,0.01118,0.01241,0.01375,0.0152,0.01674,0.0185,0.02022,0.02204,0.02394,0.02596
46,0.00074,0.0012,0.00182,0.00239,0.00285,0.00345,0.0041,0.0048,0.00556,0.00629,0.00699,0.00782,0.00882,0.00988,0.01103,0.01232,0.01369,0.01513,0.01667,0.01829,0.02022,0.02204,0.02394,0.02596,0.0282
47,0.00078,0.0013,0.00199,0.00263,0.00314,0.0038,0.00452,0.00529,0.00605,0.00686,0.00771,0.00863,0.00972,0.0109,0.01217,0.01357,0.01507,0.0166,0.01819,0.02,0.02204,0.02394,0.02596,0.0282,0.0305
48,0.00083,0.0014,0.00217,0.00289,0.00347,0.0042,0.00498,0.00577,0.00659,0.00757,0.0085,0.0095,0.01071,0.012,0.01339,0.01492,0.01653,0.01813,0.01982,0.02178,0.02394,0.02596,0.0282,0.0305,0.03288
49,0.00089,0.00152,0.00237,0.00318,0.00384,0.00464,0.00545,0.0063,0.00728,0.00835,0.00936,0.01044,0.01176,0.01318,0.01468,0.01633,0.01806,0.01975,0.02161,0.0236,0.02596,0.0282,0.0305,0.03288,0.03547
50,0.00095,0.00165,0.0026,0.0035,0.00425,0.0051,0.00598,0.00696,0.00805,0.00923,0.01032,0.01148,0.01293,0.01447,0.01607,0.01784,0.01968,0.02152,0.02351,0.02554,0.0282,0.0305,0.03288,0.03547,0.03831
51,0.00102,0.00179,0.00285,0.00386,0.00471,0.00561,0.00661,0.0077,0.0089,0.01021,0.01141,0.01271,0.01423,0.01589,0.01761,0.01949,0.02144,0.02343,0.02546,0.02767,0.0305,0.03288,0.03547,0.03831,0.04145
52,0.00109,0.00195,0.00312,0.00426,0.00522,0.00622,0.00733,0.00853,0.00986,0.01131,0.01262,0.0141,0.01568,0.01746,0.01933,0.02131,0.02334,0.02538,0.02756,0.02993,0.03288,0.03547,0.03831,0.04145,0.04495
53,0.00117,0.00212,0.00342,0.0047,0.00579,0.00691,0.00813,0.00947,0.01094,0.01253,0.01398,0.01558,0.0173,0.0192,0.02121,0.02327,0.02531,0.02746,0.02983,0.0325,0.03547,0.03831,0.04145,0.04495,0.04882
54,0.00126,0.00232,0.00376,0.00519,0.00645,0.00768,0.00904,0.01052,0.01214,0.01388,0.01549,0.0172,0.01912,0.02112,0.0232,0.02525,0.02737,0.02974,0.03236,0.03536,0.03831,0.04145,0.04495,0.04882,0.05308
55,0.00136,0.00253,0.00413,0.00575,0.00719,0.00856,0.01007,0.0117,0.01347,0.01536,0.01715,0.01899,0.02105,0.02314,0.02519,0.02728,0.02965,0.03228,0.03512,0.03831,0.04145,0.04495,0.04882,0.05308,0.05829
56,0.00147,0.00277,0.00455,0.00638,0.00803,0.00956,0.01123,0.01301,0.01493,0.01696,0.01889,0.02086,0.02301,0.02514,0.02721,0.02957,0.0322,0.03501,0.038,0.04145,0.04495,0.04882,0.05308,0.05829,0.06488
57,0.00159,0.00305,0.00503,0.00709,0.009,0.01069,0.01252,0.01446,0.01653,0.01869,0.02071,0.02274,0.02494,0.02714,0.02939,0.03204,0.03492,0.0379,0.04115,0.04495,0.04882,0.05308,0.05829,0.06488,0.07256
58,0.00173,0.00336,0.00557,0.00791,0.01009,0.01194,0.01394,0.01603,0.01824,0.02052,0.02263,0.02472,0.02702,0.0293,0.03179,0.03468,0.03782,0.04109,0.04468,0.04882,0.05308,0.05829,0.06488,0.07256,0.0812
59,0.00188,0.00371,0.00618,0.00883,0.01132,0.01334,0.01549,0.01773,0.02006,0.02244,0.02462,0.02687,0.02918,0.03167,0.03448,0.03764,0.04103,0.0446,0.04854,0.05308,0.05829,0.06488,0.07256,0.0812,0.09042
60,0.00205,0.00411,0.00688,0.00988,0.01269,0.01487,0.01718,0.01955,0.02198,0.02442,0.02678,0.02903,0.03147,0.03434,0.03746,0.04086,0.04452,0.04841,0.05283,0.05829,0.06488,0.07256,0.0812,0.09042,0.09917
61,0.00225,0.00456,0.00768,0.01106,0.01422,0.01655,0.01899,0.02146,0.02397,0.02657,0.02888,0.0312,0.03409,0.03729,0.04066,0.04428,0.0483,0.05267,0.05817,0.06488,0.07256,0.0812,0.09042,0.09917,0.10974
62,0.00247,0.00507,0.00858,0.01238,0.01589,0.01836,0.02092,0.02346,0.02613,0.02865,0.03096,0.03377,0.037,0.04042,0.04397,0.04792,0.05247,0.05797,0.06488,0.07256,0.0812,0.09042,0.09917,0.10974,0.12221
63,0.00271,0.00564,0.00959,0.01387,0.0177,0.0203,0.02293,0.02562,0.02821,0.0307,0.03342,0.03672,0.03988,0.0434,0.04721,0.05187,0.05766,0.06474,0.07256,0.0812,0.09042,0.09917,0.10974,0.12221,0.13435
64,0.00298,0.00627,0.01072,0.01552,0.01964,0.02232,0.02508,0.02771,0.03022,0.03324,0.03638,0.03971,0.04253,0.04624,0.05063,0.0568,0.06418,0.07256,0.0812,0.09042,0.09917,0.10974,0.12221,0.13435,0.14742
65,0.00327,0.00695,0.01199,0.01735,0.02167,0.02445,0.02718,0.0297,0.03274,0.03623,0.03954,0.04245,0.0452,0.04954,0.05512,0.06314,0.07215,0.0812,0.09042,0.09917,0.10974,0.12221,0.13435,0.14742,0.16114
66,0.00359,0.0077,0.01342,0.01937,0.02377,0.02656,0.02916,0.03219,0.03575,0.03937,0.04238,0.04507,0.04891,0.0545,0.062,0.0714,0.0812,0.09042,0.09917,0.10974,0.12221,0.13435,0.14742,0.16114,0.17515
67,0.00394,0.00851,0.01502,0.0216,0.02592,0.02856,0.03164,0.03525,0.03891,0.0423,0.04493,0.04874,0.0544,0.0618,0.07109,0.08076,0.09042,0.09917,0.10974,0.12221,0.13435,0.14742,0.16114,0.17515,0.18933
68,0.00431,0.00938,0.01682,0.02404,0.02794,0.03102,0.03474,0.03842,0.04175,0.0448,0.04858,0.05429,0.06161,0.07077,0.08038,0.08983,0.09917,0.10974,0.12221,0.13435,0.14742,0.16114,0.17515,0.18933,0.20383
69,0.00472,0.01031,0.01882,0.0267,0.03035,0.03413,0.03789,0.04112,0.04435,0.04846,0.05419,0.06141,0.07046,0.08,0.08932,0.09882,0.10974,0.12221,0.13435,0.14742,0.16114,0.17515,0.18933,0.20383,0.21787
70,0.00516,0.01129,0.02106,0.0296,0.03347,0.03726,0.04042,0.04346,0.04788,0.05399,0.06122,0.07015,0.07937,0.0888,0.09817,0.10974,0.12221,0.13435,0.14742,0.16114,0.17515,0.18933,0.20383,0.21787,0.23125
71,0.00563,0.01236,0.02353,0.03274,0.03658,0.03963,0.04248,0.04683,0.05295,0.06055,0.06961,0.07836,0.08802,0.09748,0.1086,0.12221,0.13435,0.14742,0.16114,0.17515,0.18933,0.20383,0.21787,0.23125,0.24651
72,0.00615,0.01351,0.02625,0.03582,0.03874,0.04136,0.04563,0.05174,0.05929,0.06855,0.07711,0.0861,0.09679,0.10773,0.12136,0.13435,0.14742,0.16114,0.17515,0.18933,0.20383,0.21787,0.23125,0.24651,0.26446
73,0.00673,0.01479,0.02923,0.03778,0.04014,0.0443,0.05038,0.05783,0.067,0.07574,0.08371,0.09452,0.10552,0.12077,0.13435,0.14742,0.16114,0.17515,0.18933,0.20383,0.21787,0.23125,0.24651,0.26446,0.28313
74,0.00738,0.01621,0.03247,0.03884,0.04289,0.04891,0.05622,0.06524,0.07397,0.08234,0.0913,0.10422,0.11868,0.13403,0.14742,0.16114,0.17515,0.18933,0.20383,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214
75,0.00811,0.01781,0.03529,0.04138,0.04735,0.0545,0.06333,0.07296,0.08071,0.09012,0.10093,0.11864,0.13369,0.14697,0.16114,0.17515,0.18933,0.20383,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095
76,0.00893,0.0196,0.03768,0.04568,0.05266,0.06124,0.07032,0.08071,0.08872,0.09973,0.11695,0.13324,0.14642,0.16092,0.17515,0.18933,0.20383,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218
77,0.00987,0.02162,0.04032,0.05067,0.05894,0.06734,0.07727,0.08872,0.09814,0.11275,0.13267,0.14528,0.16029,0.17515,0.18933,0.20383,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726
78,0.01094,0.02388,0.0432,0.05644,0.066,0.07267,0.08499,0.09814,0.11017,0.12571,0.14397,0.15878,0.1748,0.18933,0.20383,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191
79,0.01215,0.0265,0.04635,0.06336,0.07246,0.0792,0.09397,0.10972,0.12189,0.13732,0.15692,0.1739,0.18933,0.20383,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572
80,0.01357,0.02954,0.05004,0.06965,0.078,0.08755,0.10441,0.12077,0.13249,0.15163,0.17227,0.18933,0.20383,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829
81,0.01523,0.03292,0.05435,0.0746,0.08381,0.09645,0.11422,0.13054,0.14672,0.16901,0.18887,0.20383,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924
82,0.01711,0.03672,0.05905,0.07986,0.0901,0.10438,0.12259,0.14295,0.16449,0.18712,0.20383,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109
83,0.01926,0.04099,0.06412,0.08533,0.09668,0.11156,0.13419,0.15872,0.18444,0.20383,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727
84,0.02173,0.04578,0.06954,0.09094,0.10299,0.12346,0.15029,0.17981,0.20383,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485
85,0.02454,0.05106,0.0752,0.0964,0.11018,0.13873,0.17132,0.20258,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389
86,0.02772,0.05684,0.08087,0.10141,0.12182,0.15797,0.19778,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447
87,0.03129,0.06312,0.08634,0.10844,0.14131,0.19049,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665
88,0.0353,0.06979,0.09147,0.12216,0.17259,0.21787,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051
89,0.0397,0.07656,0.09928,0.14232,0.20799,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612
90,0.04565,0.08161,0.12026,0.18687,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355
91,0.05535,0.10108,0.17808,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288
92,0.07026,0.14147,0.23125,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288,0.81418
93,0.09099,0.17564,0.24651,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288,0.81418,0.8575
94,0.11831,0.2187,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288,0.81418,0.8575,0.90289
95,0.15354,0.26446,0.28313,0.30214,0.32095,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288,0.81418,0.8575,0.90289,0.95039

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Smoker, Residual Standard, Female, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00044,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00048,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00068,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00113,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00134,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00156,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00175,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00191,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00204,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00217,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00229,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00242,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00256,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00275,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00302,,,,,,,,,,,,,,,,,,,,,,,,
47,0.0033,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00362,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00397,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00437,,,,,,,,,,,,,,,,,,,,,,,,
51,0.0048,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00528,,,,,,,,,,,,,,,,,,,,,,,,
53,0.0058,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00638,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00702,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00774,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00855,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00944,,,,,,,,,,,,,,,,,,,,,,,,
59,0.01042,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0115,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01269,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01398,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01538,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01689,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0185,,,,,,,,,,,,,,,,,,,,,,,,
66,0.02022,,,,,,,,,,,,,,,,,,,,,,,,
67,0.02204,,,,,,,,,,,,,,,,,,,,,,,,
68,0.02394,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02596,,,,,,,,,,,,,,,,,,,,,,,,
70,0.0282,,,,,,,,,,,,,,,,,,,,,,,,
71,0.0305,,,,,,,,,,,,,,,,,,,,,,,,
72,0.03288,,,,,,,,,,,,,,,,,,,,,,,,
73,0.03547,,,,,,,,,,,,,,,,,,,,,,,,
74,0.03831,,,,,,,,,,,,,,,,,,,,,,,,
75,0.04145,,,,,,,,,,,,,,,,,,,,,,,,
76,0.04495,,,,,,,,,,,,,,,,,,,,,,,,
77,0.04882,,,,,,,,,,,,,,,,,,,,,,,,
78,0.05308,,,,,,,,,,,,,,,,,,,,,,,,
79,0.05829,,,,,,,,,,,,,,,,,,,,,,,,
80,0.06488,,,,,,,,,,,,,,,,,,,,,,,,
81,0.07256,,,,,,,,,,,,,,,,,,,,,,,,
82,0.0812,,,,,,,,,,,,,,,,,,,,,,,,
83,0.09042,,,,,,,,,,,,,,,,,,,,,,,,
