Table Name:,"2001 CSO Super Preferred Select and Ultimate - Male Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
99,0.34594,0.36638,0.3846,0.40378,0.42408,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167,1,,,

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2001 Commissioners Standard Ordinary (CSO) Super Preferred Select and Ultimate Table - Male, Nonsmoker. Basis: Age Last Birthday. Minimum Ultimate Age: 16. Maximum Ultimate Age: 120",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",16,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00043,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00048,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00053,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00053,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00056,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0006,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00066,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00083,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00089,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00097,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00106,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00116,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00128,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0014,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00153,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00164,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00175,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00188,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00205,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00229,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00257,,,,,,,,,,,,,,,,,,,,,,,,
53,0.0029,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00332,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00379,,,,,,,,,,,,,,,,,,,,,,,,
56,0.0043,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00483,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00536,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00593,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00655,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00731,,,,,,,,,,,,,,,,,,,,,,,,
62,0.0082,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00916,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01017,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01121,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01227,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01339,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01456,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01587,,,,,,,,,,,,,,,,,,,,,,,,
70,0.0174,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01927,,,,,,,,,,,,,,,,,,,,,,,,
72,0.02144,,,,,,,,,,,,,,,,,,,,,,,,
73,0.02373,,,,,,,,,,,,,,,,,,,,,,,,
74,0.02619,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02921,,,,,,,,,,,,,,,,,,,,,,,,
76,0.03299,,,,,,,,,,,,,,,,,,,,,,,,
77,0.03742,,,,,,,,,,,,,,,,,,,,,,,,
78,0.04261,,,,,,,,,,,,,,,,,,,,,,,,
79,0.04855,,,,,,,,,,,,,,,,,,,,,,,,
80,0.05529,,,,,,,,,,,,,,,,,,,,,,,,
81,0.06277,,,,,,,,,,,,,,,,,,,,,,,,
82,0.0709,,,,,,,,,,,,,,,,,,,,,,,,
83,0.07995,,,,,,,,,,,,,,,,,,,,,,,,
84,0.09017,,,,,,,,,,,,,,,,,,,,,,,,
85,0.10172,,,,,,,,,,,,,,,,,,,,,,,,
86,0.11464,,,,,,,,,,,,,,,,,,,,,,,,
87,0.12888,,,,,,,,,,,,,,,,,,,,,,,,
88,0.14435,,,,,,,,,,,,,,,,,,,,,,,,
89,0.16094,,,,,,,,,,,,,,,,,,,,,,,,
90,0.17796,,,,,,,,,,,,,,,,,,,,,,,,
91,0.19527,,,,,,,,,,,,,,,,,,,,,,,,
92,0.21373,,,,,,,,,,,,,,,,,,,,,,,,
93,0.23352,,,,,,,,,,,,,,,,,,,,,,,,
94,0.25464,,,,,,,,,,,,,,,,,,,,,,,,
95,0.27421,,,,,,,,,,,,,,,,,,,,,,,,
96,0.29118,,,,,,,,,,,,,,,,,,,,,,,,
97,0.30926,,,,,,,,,,,,,,,,,,,,,,,,
98,0.32854,,,,,,,,,,,,,,,,,,,,,,,,
99,0.34911,,,,,,,,,,,,,,,,,,,,,,,,
100,0.36876,,,,,,,,,,,,,,,,,,,,,,,,
101,0.38619,,,,,,,,,,,,,,,,,,,,,,,,
102,0.40473,,,,,,,,,,,,,,,,,,,,,,,,
103,0.42444,,,,,,,,,,,,,,,,,,,,,,,,
104,0.44527,,,,,,,,,,,,,,,,,,,,,,,,
105,0.46721,,,,,,,,,,,,,,,,,,,,,,,,
106,0.4905,,,,,,,,,,,,,,,,,,,,,,,,
107,0.51521,,,,,,,,,,,,,,,,,,,,,,,,
108,0.54143,,,,,,,,,,,,,,,,,,,,,,,,
109,0.56922,,,,,,,,,,,,,,,,,,,,,,,,
110,0.59865,,,,,,,,,,,,,,,,,,,,,,,,
111,0.62983,,,,,,,,,,,,,,,,,,,,,,,,
112,0.66283,,,,,,,,,,,,,,,,,,,,,,,,
113,0.69775,,,,,,,,,,,,,,,,,,,,,,,,
114,0.73465,,,,,,,,,,,,,,,,,,,,,,,,
115,0.77363,,,,,,,,,,,,,,,,,,,,,,,,
116,0.81476,,,,,,,,,,,,,,,,,,,,,,,,
117,0.85813,,,,,,,,,,,,,,,,,,,,,,,,
118,0.9038,,,,,,,,,,,,,,,,,,,,,,,,
119,0.95167,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
