Table Name:,"2001 VBT Preferred Select and Ultimate - Female Nonsmoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Preferred Select and Ultimate Table -  Female Nonsmoker. Basis: Age Nearest Birthday. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Dates,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",25,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00029,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00031,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00032,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00034,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00034,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00036,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00039,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00044,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00048,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00056,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00064,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00068,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00093,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00103,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00115,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00131,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00146,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00165,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00185,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00211,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00239,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00269,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00301,,,,,,,,,,,,,,,,,,,,,,,,
56,0.0034,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00381,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00426,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00471,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00513,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00558,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00606,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00657,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00712,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00773,,,,,,,,,,,,,,,,,,,,,,,,
66,0.0084,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00914,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00996,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01086,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01187,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01303,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01433,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01574,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01728,,,,,,,,,,,,,,,,,,,,,,,,
75,0.019,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02114,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02353,,,,,,,,,,,,,,,,,,,,,,,,
78,0.02619,,,,,,,,,,,,,,,,,,,,,,,,
79,0.0291,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03237,,,,,,,,,,,,,,,,,,,,,,,,
81,0.03685,,,,,,,,,,,,,,,,,,,,,,,,
82,0.04197,,,,,,,,,,,,,,,,,,,,,,,,
83,0.04714,,,,,,,,,,,,,,,,,,,,,,,,
84,0.05291,,,,,,,,,,,,,,,,,,,,,,,,
85,0.05948,,,,,,,,,,,,,,,,,,,,,,,,
86,0.06552,,,,,,,,,,,,,,,,,,,,,,,,
87,0.07464,,,,,,,,,,,,,,,,,,,,,,,,
88,0.0843,,,,,,,,,,,,,,,,,,,,,,,,
89,0.09471,,,,,,,,,,,,,,,,,,,,,,,,
90,0.10444,,,,,,,,,,,,,,,,,,,,,,,,
91,0.10946,,,,,,,,,,,,,,,,,,,,,,,,
92,0.11915,,,,,,,,,,,,,,,,,,,,,,,,
93,0.13355,,,,,,,,,,,,,,,,,,,,,,,,
94,0.15193,,,,,,,,,,,,,,,,,,,,,,,,
95,0.17488,,,,,,,,,,,,,,,,,,,,,,,,
96,0.19508,,,,,,,,,,,,,,,,,,,,,,,,
97,0.21588,,,,,,,,,,,,,,,,,,,,,,,,
98,0.21788,,,,,,,,,,,,,,,,,,,,,,,,
99,0.22837,,,,,,,,,,,,,,,,,,,,,,,,
100,0.24585,,,,,,,,,,,,,,,,,,,,,,,,
101,0.26942,,,,,,,,,,,,,,,,,,,,,,,,
102,0.29554,,,,,,,,,,,,,,,,,,,,,,,,
103,0.32387,,,,,,,,,,,,,,,,,,,,,,,,
104,0.35491,,,,,,,,,,,,,,,,,,,,,,,,
105,0.38835,,,,,,,,,,,,,,,,,,,,,,,,
106,0.42259,,,,,,,,,,,,,,,,,,,,,,,,
107,0.45763,,,,,,,,,,,,,,,,,,,,,,,,
108,0.49287,,,,,,,,,,,,,,,,,,,,,,,,
109,0.52951,,,,,,,,,,,,,,,,,,,,,,,,
110,0.56695,,,,,,,,,,,,,,,,,,,,,,,,
111,0.603,,,,,,,,,,,,,,,,,,,,,,,,
112,0.638,,,,,,,,,,,,,,,,,,,,,,,,
113,0.67,,,,,,,,,,,,,,,,,,,,,,,,
114,0.7145,,,,,,,,,,,,,,,,,,,,,,,,
115,0.756,,,,,,,,,,,,,,,,,,,,,,,,
116,0.799,,,,,,,,,,,,,,,,,,,,,,,,
117,0.846,,,,,,,,,,,,,,,,,,,,,,,,
118,0.88948,,,,,,,,,,,,,,,,,,,,,,,,
119,0.93363,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
