Table Name:,"2001 CSO Super Preferred Select and Ultimate - Female Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
99,0.21935,0.2395,0.25885,0.27562,0.29319,0.31144,0.33038,0.35103,0.37448,0.40073,0.42976,0.46156,0.49611,0.53339,0.57335,0.61598,0.66124,0.70906,0.7594,0.81218,0.87712,1,,,

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Super Preferred Select and Ultimate Table - Female Nonsmoker. Basis: Age Last Birthday. Minimum Ultimate Age: 16. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",16,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00023,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00025,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00025,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00026,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00029,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0003,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00031,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00035,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00037,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00038,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0004,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00045,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00048,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00066,,,,,,,,,,,,,,,,,,,,,,,,
39,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00074,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00107,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00117,,,,,,,,,,,,,,,,,,,,,,,,
47,0.0013,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00145,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00161,,,,,,,,,,,,,,,,,,,,,,,,
50,0.0018,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00202,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00227,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00255,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00287,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00323,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00363,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00407,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00454,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00498,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0054,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00586,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00633,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00685,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00741,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00803,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00871,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00947,,,,,,,,,,,,,,,,,,,,,,,,
68,0.0103,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01121,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01225,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01342,,,,,,,,,,,,,,,,,,,,,,,,
72,0.0147,,,,,,,,,,,,,,,,,,,,,,,,
73,0.0161,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01765,,,,,,,,,,,,,,,,,,,,,,,,
75,0.01958,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02194,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02458,,,,,,,,,,,,,,,,,,,,,,,,
78,0.02752,,,,,,,,,,,,,,,,,,,,,,,,
79,0.03081,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03488,,,,,,,,,,,,,,,,,,,,,,,,
81,0.03988,,,,,,,,,,,,,,,,,,,,,,,,
82,0.04531,,,,,,,,,,,,,,,,,,,,,,,,
83,0.05117,,,,,,,,,,,,,,,,,,,,,,,,
84,0.05781,,,,,,,,,,,,,,,,,,,,,,,,
85,0.06473,,,,,,,,,,,,,,,,,,,,,,,,
86,0.07297,,,,,,,,,,,,,,,,,,,,,,,,
87,0.08313,,,,,,,,,,,,,,,,,,,,,,,,
88,0.09411,,,,,,,,,,,,,,,,,,,,,,,,
89,0.10538,,,,,,,,,,,,,,,,,,,,,,,,
90,0.11438,,,,,,,,,,,,,,,,,,,,,,,,
91,0.12338,,,,,,,,,,,,,,,,,,,,,,,,
92,0.13726,,,,,,,,,,,,,,,,,,,,,,,,
93,0.15576,,,,,,,,,,,,,,,,,,,,,,,,
94,0.1788,,,,,,,,,,,,,,,,,,,,,,,,
95,0.20279,,,,,,,,,,,,,,,,,,,,,,,,
96,0.22504,,,,,,,,,,,,,,,,,,,,,,,,
97,0.23948,,,,,,,,,,,,,,,,,,,,,,,,
98,0.24732,,,,,,,,,,,,,,,,,,,,,,,,
99,0.26359,,,,,,,,,,,,,,,,,,,,,,,,
100,0.28474,,,,,,,,,,,,,,,,,,,,,,,,
101,0.30772,,,,,,,,,,,,,,,,,,,,,,,,
102,0.33304,,,,,,,,,,,,,,,,,,,,,,,,
103,0.3607,,,,,,,,,,,,,,,,,,,,,,,,
104,0.39085,,,,,,,,,,,,,,,,,,,,,,,,
105,0.42271,,,,,,,,,,,,,,,,,,,,,,,,
106,0.45532,,,,,,,,,,,,,,,,,,,,,,,,
107,0.48847,,,,,,,,,,,,,,,,,,,,,,,,
108,0.52219,,,,,,,,,,,,,,,,,,,,,,,,
109,0.55703,,,,,,,,,,,,,,,,,,,,,,,,
110,0.59195,,,,,,,,,,,,,,,,,,,,,,,,
111,0.62562,,,,,,,,,,,,,,,,,,,,,,,,
112,0.65776,,,,,,,,,,,,,,,,,,,,,,,,
113,0.69078,,,,,,,,,,,,,,,,,,,,,,,,
114,0.73205,,,,,,,,,,,,,,,,,,,,,,,,
115,0.77134,,,,,,,,,,,,,,,,,,,,,,,,
116,0.81235,,,,,,,,,,,,,,,,,,,,,,,,
117,0.8559,,,,,,,,,,,,,,,,,,,,,,,,
118,0.89658,,,,,,,,,,,,,,,,,,,,,,,,
119,0.93906,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
