Table Name:,"2001 CSO Preferred Select and Ultimate - Female Smoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
99,0.23202,0.25034,0.26767,0.28168,0.29599,0.31223,0.33111,0.3517,0.3751,0.4013,0.43029,0.46204,0.49654,0.53377,0.57368,0.61627,0.66148,0.70925,0.75954,0.81226,0.87716,1,,,

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Preferred Select and Ultimate Table - Female Smoker. Basis: Age Last Birthday. Minimum Ultimate Age: 16. Maximum Ultimate Age: 120,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",16,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00032,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00035,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00039,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00044,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00066,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00074,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00091,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00108,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00117,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00126,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00135,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00143,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00151,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00161,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00172,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00186,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00202,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0022,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0024,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00264,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00295,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00332,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00374,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00423,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00477,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00535,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00598,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00669,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00745,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00826,,,,,,,,,,,,,,,,,,,,,,,,
57,0.0091,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00999,,,,,,,,,,,,,,,,,,,,,,,,
59,0.0109,,,,,,,,,,,,,,,,,,,,,,,,
60,0.01178,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01273,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01374,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01478,,,,,,,,,,,,,,,,,,,,,,,,
64,0.0159,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0171,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01841,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01988,,,,,,,,,,,,,,,,,,,,,,,,
68,0.02147,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02322,,,,,,,,,,,,,,,,,,,,,,,,
70,0.0252,,,,,,,,,,,,,,,,,,,,,,,,
71,0.02742,,,,,,,,,,,,,,,,,,,,,,,,
72,0.02984,,,,,,,,,,,,,,,,,,,,,,,,
73,0.03247,,,,,,,,,,,,,,,,,,,,,,,,
74,0.03523,,,,,,,,,,,,,,,,,,,,,,,,
75,0.03835,,,,,,,,,,,,,,,,,,,,,,,,
76,0.04197,,,,,,,,,,,,,,,,,,,,,,,,
77,0.04591,,,,,,,,,,,,,,,,,,,,,,,,
78,0.05021,,,,,,,,,,,,,,,,,,,,,,,,
79,0.0549,,,,,,,,,,,,,,,,,,,,,,,,
80,0.06069,,,,,,,,,,,,,,,,,,,,,,,,
81,0.06776,,,,,,,,,,,,,,,,,,,,,,,,
82,0.07516,,,,,,,,,,,,,,,,,,,,,,,,
83,0.08286,,,,,,,,,,,,,,,,,,,,,,,,
84,0.091,,,,,,,,,,,,,,,,,,,,,,,,
85,0.09874,,,,,,,,,,,,,,,,,,,,,,,,
86,0.1077,,,,,,,,,,,,,,,,,,,,,,,,
87,0.11873,,,,,,,,,,,,,,,,,,,,,,,,
88,0.12999,,,,,,,,,,,,,,,,,,,,,,,,
89,0.14058,,,,,,,,,,,,,,,,,,,,,,,,
90,0.1473,,,,,,,,,,,,,,,,,,,,,,,,
91,0.15322,,,,,,,,,,,,,,,,,,,,,,,,
92,0.16436,,,,,,,,,,,,,,,,,,,,,,,,
93,0.1797,,,,,,,,,,,,,,,,,,,,,,,,
94,0.20074,,,,,,,,,,,,,,,,,,,,,,,,
95,0.22462,,,,,,,,,,,,,,,,,,,,,,,,
96,0.24645,,,,,,,,,,,,,,,,,,,,,,,,
97,0.2594,,,,,,,,,,,,,,,,,,,,,,,,
98,0.26459,,,,,,,,,,,,,,,,,,,,,,,,
99,0.27857,,,,,,,,,,,,,,,,,,,,,,,,
100,0.29748,,,,,,,,,,,,,,,,,,,,,,,,
101,0.31792,,,,,,,,,,,,,,,,,,,,,,,,
102,0.34013,,,,,,,,,,,,,,,,,,,,,,,,
103,0.36404,,,,,,,,,,,,,,,,,,,,,,,,
104,0.39163,,,,,,,,,,,,,,,,,,,,,,,,
105,0.42344,,,,,,,,,,,,,,,,,,,,,,,,
106,0.45599,,,,,,,,,,,,,,,,,,,,,,,,
107,0.4891,,,,,,,,,,,,,,,,,,,,,,,,
108,0.52277,,,,,,,,,,,,,,,,,,,,,,,,
109,0.55756,,,,,,,,,,,,,,,,,,,,,,,,
110,0.59243,,,,,,,,,,,,,,,,,,,,,,,,
111,0.62605,,,,,,,,,,,,,,,,,,,,,,,,
112,0.65815,,,,,,,,,,,,,,,,,,,,,,,,
113,0.69112,,,,,,,,,,,,,,,,,,,,,,,,
114,0.73234,,,,,,,,,,,,,,,,,,,,,,,,
115,0.77159,,,,,,,,,,,,,,,,,,,,,,,,
116,0.81254,,,,,,,,,,,,,,,,,,,,,,,,
117,0.85604,,,,,,,,,,,,,,,,,,,,,,,,
118,0.89668,,,,,,,,,,,,,,,,,,,,,,,,
119,0.93911,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
